    LRGN[body]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
              -18,           18,      16.1958,        95.523,       153.631,           2.53055,         -0.352788,      98.0536,      153.278,      1.09879,      1.71764
               18,           18,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

