    LRGN[wing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -3,            3,      1.80367,       12.0376,        40.199,          0.455476,        -0.0569994,      12.4931,       40.142,     0.765712,      2.46033
                3,            3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

